"id","tml_cd","stack_date","stack_hour","capa_tier_avail","capa_tier_max","num_tier_avail","num_tier_max","num_bay","num_row","ground_slot_ttl","ground_slot_occ","van_f_20","van_f_40","van_m_20","van_m_40","van_clss_ex","van_clss_im","van_clss_ts","van_clss_sh","van_clss_st","log_dt"
131131,SAA,"20260302","20",32940,35652,99,115,802,230,8361,2379,579,1270,638,1840,86,1808,0,0,2433,2026-03-03 13:05:00.011
131130,SAA,"20260302","04",32940,35652,99,115,802,230,8361,2396,592,1395,600,1747,86,1946,0,0,2302,2026-03-03 13:05:00.011
131129,SAA,"20260302","19",32940,35652,99,115,802,230,8361,2393,579,1286,638,1840,86,1824,0,0,2433,2026-03-03 13:05:00.011
131146,SAA,"20260303","01",32940,35652,99,115,802,230,8361,2387,562,1252,659,1853,86,1773,0,0,2467,2026-03-03 13:05:00.011
131145,SAA,"20260303","03",32940,35652,99,115,802,230,8361,2389,562,1252,659,1854,86,1773,0,0,2468,2026-03-03 13:05:00.011
131144,SAA,"20260303","00",32940,35652,99,115,802,230,8361,2387,562,1252,659,1853,86,1773,0,0,2467,2026-03-03 13:05:00.011
131143,SAA,"20260303","06",32940,35652,99,115,802,230,8361,2389,562,1252,659,1854,86,1773,0,0,2468,2026-03-03 13:05:00.011
131142,SAA,"20260302","08",32940,35652,99,115,802,230,8361,2396,592,1395,600,1747,86,1946,0,0,2302,2026-03-03 13:05:00.011
131141,SAA,"20260302","05",32940,35652,99,115,802,230,8361,2396,592,1395,600,1747,86,1946,0,0,2302,2026-03-03 13:05:00.011
131140,SAA,"20260302","16",32940,35652,99,115,802,230,8361,2400,585,1365,628,1785,86,1909,0,0,2368,2026-03-03 13:05:00.011
131147,SAA,"20260303","04",32940,35652,99,115,802,230,8361,2389,562,1252,659,1854,86,1773,0,0,2468,2026-03-03 13:05:00.011
131119,SAA,"20260302","12",32940,35652,99,115,802,230,8361,2396,592,1395,600,1747,86,1946,0,0,2302,2026-03-03 13:05:00.011
